ID,Colony,Treatment,Trial,Success,Ball type,solving time,smartness
11,1,1,1,1,1,6,1.4
11,1,1,2,1,1,2,1.4
11,1,1,3,1,1,1,1.4
11,1,1,4,1,1,14,1.4
11,1,1,5,1,2,12,1.4
11,1,1,6,1,1,2,1.4
11,1,1,7,1,2,3,1.4
11,1,1,8,1,1,2,1.4
11,1,1,9,1,2,3,1.4
11,1,1,10,1,2,3,1.4
11,1,1,11,1,4,34,1.4
15,1,1,1,0,,,1.4
15,1,1,2,1,1,77,1.4
15,1,1,3,1,1,20,1.4
15,1,1,4,1,3,78,1.4
15,1,1,5,1,2,37,1.4
15,1,1,6,1,2,4,1.4
15,1,1,7,1,1,71,1.4
15,1,1,8,1,1,6,1.4
15,1,1,9,1,1,2,1.4
15,1,1,10,1,1,26,1.4
15,1,1,11,1,4,3,1.4
16,1,1,1,1,1,13,1.4
16,1,1,2,1,1,50,1.4
16,1,1,3,1,1,32,1.4
16,1,1,4,1,1,204,1.4
16,1,1,5,1,1,12,1.4
16,1,1,6,1,1,9,1.4
16,1,1,7,1,1,6,1.4
16,1,1,8,1,1,3,1.4
16,1,1,9,1,1,21,1.4
16,1,1,10,1,1,5,1.4
16,1,1,11,1,4,18,1.4
17,2,1,1,1,2,21,0.9
17,2,1,2,1,1,287,0.9
17,2,1,3,1,3,129,0.9
17,2,1,4,1,3,11,0.9
17,2,1,5,1,1,19,0.9
17,2,1,6,1,2,78,0.9
17,2,1,7,1,2,48,0.9
17,2,1,8,1,3,53,0.9
17,2,1,9,1,1,85,0.9
17,2,1,10,1,1,46,0.9
17,2,1,11,1,2,19,0.9
25,2,1,1,1,1,19,0.9
25,2,1,2,1,1,266,0.9
25,2,1,3,1,2,31,0.9
25,2,1,4,1,1,37,0.9
25,2,1,5,1,1,1,0.9
25,2,1,6,1,1,35,0.9
25,2,1,7,1,1,4,0.9
25,2,1,8,1,1,35,0.9
25,2,1,9,1,2,3,0.9
25,2,1,10,1,1,25,0.9
25,2,1,11,1,4,46,0.9
47,2,1,1,1,1,5,0.9
47,2,1,2,1,2,32,0.9
47,2,1,3,1,1,2,0.9
47,2,1,4,1,1,141,0.9
47,2,1,5,1,1,23,0.9
47,2,1,6,1,1,25,0.9
47,2,1,7,1,2,11,0.9
47,2,1,8,1,1,7,0.9
47,2,1,9,1,1,17,0.9
47,2,1,10,1,3,13,0.9
47,2,1,11,1,4,26,0.9
95,3,1,1,1,1,138,1.4
95,3,1,2,1,2,106,1.4
95,3,1,3,1,1,24,1.4
95,3,1,4,1,2,238,1.4
95,3,1,5,1,3,26,1.4
95,3,1,6,1,1,101,1.4
95,3,1,7,1,1,80,1.4
95,3,1,8,1,1,36,1.4
95,3,1,9,1,2,55,1.4
95,3,1,10,1,1,92,1.4
95,3,1,11,1,4,7,1.4
96,3,1,1,1,1,142,1.4
96,3,1,2,1,1,11,1.4
96,3,1,3,1,1,96,1.4
96,3,1,4,1,1,17,1.4
96,3,1,5,1,1,211,1.4
96,3,1,6,1,2,55,1.4
96,3,1,7,1,1,41,1.4
96,3,1,8,1,1,175,1.4
96,3,1,9,1,3,44,1.4
96,3,1,10,1,1,4,1.4
96,3,1,11,1,4,25,1.4
97,3,1,1,1,1,25,1.4
97,3,1,2,1,1,5,1.4
97,3,1,3,1,1,14,1.4
97,3,1,4,1,1,130,1.4
97,3,1,5,1,1,37,1.4
97,3,1,6,1,1,10,1.4
97,3,1,7,1,1,88,1.4
97,3,1,8,1,1,17,1.4
97,3,1,9,1,1,53,1.4
97,3,1,10,1,1,14,1.4
97,3,1,11,1,4,246,1.4
99,3,1,1,1,1,39,1.4
99,3,1,2,1,1,7,1.4
99,3,1,3,1,2,8,1.4
99,3,1,4,1,1,16,1.4
99,3,1,5,1,3,34,1.4
99,3,1,6,1,1,10,1.4
99,3,1,7,1,1,28,1.4
